game_name,original_price,new_price,platform,price_start_date
Outer Wilds,20.44,10.71,Gamesplanet DE,2022-10-06T00:08:45+00:00
Tom Clancy's Ghost Recon Wildlands,49.99,11.0,Gamebillet,2022-10-05T11:04:12+00:00
Starbase,34.99,11.89,Steam,2022-10-03T17:53:38+00:00
Submerged,19.99,1.99,Steam,2022-10-03T17:40:12+00:00
Supraland Six Inches Under,19.99,11.99,Steam,2022-10-02T17:32:20+00:00
The Elder Scrolls Online: Morrowind,16.62,4.77,Gamesplanet UK,2022-09-28T22:07:57+00:00
Team Sonic Racing,39.99,7.98,Gamebillet,2022-10-07T08:03:25+00:00
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles Digital Deluxe Edition,69.99,30.78,Gamebillet,2022-10-07T08:03:25+00:00
Curse of the Dead Gods,19.99,9.99,Fanatical,2022-10-06T23:02:50+00:00
Halfway,12.99,2.59,Gog.com,2022-10-06T13:09:19+00:00
Crash Bandicoot 4: It's About Time,39.99,29.99,Battle.net,2022-10-04T17:11:20+00:00
Overland,19.99,9.99,Gog.com,2022-10-03T13:08:58+00:00
RESIDENT EVIL 2 / biohazard RE:2 - Deluxe Edition,48.69,10.71,Gamesplanet DE,2022-10-03T08:10:02+00:00
Red Dead Online,19.99,8.6,Green Man Gaming,2022-10-09T00:08:31+00:00
Yakuza 6: The Song of Life,19.99,6.78,Gamebillet,2022-10-08T23:04:23+00:00
Far Cry 6 Deluxe Edition,79.99,24.0,Voidu,2022-10-07T20:00:26+00:00
Stick Fight: The Game,4.99,2.24,Humble Store,2022-10-07T18:11:38+00:00
GreedFall,34.99,13.99,Fanatical,2022-10-06T23:02:50+00:00
The Longing,14.99,11.24,Gog.com,2022-10-05T09:07:12+00:00
Shardlight,14.99,4.49,Gog.com,2022-10-03T13:08:58+00:00
Dead Rising 3 Apocalypse Edition,27.71,6.37,Gamesplanet UK,2022-10-03T08:10:10+00:00
Dragons Dogma: Dark Arisen,29.99,4.13,Green Man Gaming,2022-09-29T22:07:25+00:00
Hogwarts Legacy,49.51,48.52,Voidu,2022-09-23T23:00:38+00:00
WARRIORS OROCHI 4 - 無双OROCHI 3,60.96,33.25,Gamesplanet UK,2022-02-08T13:52:10+00:00
Toukiden 2,58.43,24.34,Gamesplanet DE,2022-02-08T13:52:10+00:00
Yakuza: Like a Dragon - Hero Edition,69.99,22.98,Gamebillet,2022-10-08T23:04:23+00:00
Far Cry,9.99,2.52,Green Man Gaming,2022-10-07T16:09:37+00:00
Soul Hackers 2 - Digital Deluxe Edition,69.99,40.99,Gamebillet,2022-10-07T08:03:25+00:00
Persona 4 Golden: Digital Deluxe Edition,24.99,13.98,Gamebillet,2022-10-07T08:03:25+00:00
Motorsport Manager,16.62,2.9,Gamesplanet UK,2022-10-06T17:09:58+00:00
Castle of Illusion,11.08,2.47,Gamesplanet UK,2022-10-06T17:09:58+00:00
WATCH_DOGS,29.99,6.6,Gamebillet,2022-10-05T11:04:12+00:00
ELEX II,49.99,24.99,Epic Games Store,2022-10-03T15:18:06+00:00
ATOM RPG: Post-apocalyptic indie game,14.99,10.49,Gog.com,2022-10-03T13:08:58+00:00
Primordia,9.99,2.99,Gog.com,2022-10-03T13:08:58+00:00
Dead Rising 2,16.62,3.88,Gamesplanet UK,2022-10-03T08:10:10+00:00
Catmaze,9.99,2.99,Steam,2022-10-01T09:28:59+00:00
Remember Me,29.99,5.16,Green Man Gaming,2022-09-29T22:07:25+00:00
IL-2 Sturmovik: Battle of Stalingrad,49.99,7.49,Steam,2022-09-29T16:29:54+00:00
Assassin's Creed Freedom Cry (Standalone),14.99,3.38,Ubisoft Store,2022-09-29T15:05:45+00:00
Creaks,19.99,6.99,Steam,2022-10-07T17:45:15+00:00
Far Cry 3,19.99,5.04,Green Man Gaming,2022-10-07T16:09:37+00:00
Far Cry 2,9.99,2.79,Fanatical,2022-10-07T16:04:32+00:00
Sonic Adventure 2,7.75,1.78,Gamesplanet UK,2022-10-06T17:09:58+00:00
Twelve Minutes,20.44,12.18,Gamesplanet DE,2022-10-06T00:08:45+00:00
Syberia: The World Before,39.99,24.79,Gog.com,2022-10-05T13:07:02+00:00
Muse Dash,2.99,0.53,Steam,2022-09-30T09:39:58+00:00
Onimusha Warlords,19.99,6.88,Green Man Gaming,2022-09-29T22:07:25+00:00
Assassin's Creed Rogue,19.99,5.99,Steam,2022-09-29T17:49:18+00:00
Riders Republic Standard Edition,59.99,17.82,Ubisoft Store,2022-09-29T15:05:45+00:00
UNO,9.99,3.6,Ubisoft Store,2022-09-29T15:05:45+00:00
Far Cry New Dawn,39.99,8.89,GamersGate,2022-10-07T17:02:31+00:00
Prince of Persia,9.99,1.77,GamersGate,2022-10-07T17:02:31+00:00
Battlefleet Gothic: Armada 2,19.99,5.39,Fanatical,2022-10-06T23:02:50+00:00
The Elder Scrolls V: Skyrim VR,44.33,13.29,Gamesplanet UK,2022-10-03T22:09:56+00:00
A Plague Tale: Requiem,39.59,38.8,Voidu,2022-10-03T17:01:26+00:00
Chernobylite,29.99,20.99,Gog.com,2022-10-03T13:08:58+00:00
Planet Nomads,19.99,9.99,Gog.com,2022-10-03T13:08:58+00:00
RESIDENT EVIL 7 biohazard,17.73,6.64,Gamesplanet UK,2022-10-03T08:10:10+00:00
Marvel's Spider-Man Remastered,59.99,45.19,Gamebillet,2022-10-01T10:02:26+00:00
Far Cry Primal,29.99,6.75,Ubisoft Store,2022-09-29T15:05:45+00:00
Vampire: The Masquerade - Redemption,5.99,2.99,Gog.com,2022-09-29T14:08:23+00:00
Fallout : New Vegas,9.99,1.96,Voidu,2022-10-07T17:01:02+00:00
Shin Megami Tensei III Nocturne HD Remaster Digital Deluxe Edition,69.99,24.98,Gamebillet,2022-10-07T08:03:25+00:00
Ni no Kuni II: Revenant Kingdom,59.99,8.99,Steam,2022-10-06T17:53:14+00:00
Yakuza Kiwami 2,19.99,6.99,Steam,2022-10-06T17:49:38+00:00
Starmancer,19.99,15.99,Gog.com,2022-10-06T13:09:19+00:00
For The King,19.99,5.16,Gamebillet,2022-10-04T10:02:47+00:00
City of Brass,19.99,1.99,Steam,2022-10-03T17:40:12+00:00
UNCHARTED: Legacy of Thieves Collection - Pre Purchase,49.99,39.24,Allyouplay,2022-10-03T16:11:53+00:00
Road 96,10.0,9.8,Voidu,2022-09-12T13:02:33+00:00
Trek to Yomi,19.99,13.99,Steam,2022-10-07T17:37:07+00:00
Super Monkey Ball Banana Mania,29.99,13.98,Gamebillet,2022-10-07T08:03:25+00:00
Pathfinder: Wrath of the Righteous Enhanced Edition,49.99,19.08,Voidu,2022-10-07T05:00:43+00:00
ENDLESS Legend,29.99,7.49,Steam,2022-10-06T17:37:51+00:00
Lost in Play,19.99,10.39,Green Man Gaming,2022-10-06T10:09:30+00:00
The TakeOver,19.99,3.99,Steam,2022-10-03T17:53:06+00:00
Solasta: Crown of the Magister,39.99,15.99,Steam,2022-10-03T17:39:34+00:00
The Disney Afternoon Collection,19.99,4.3,Green Man Gaming,2022-09-29T22:07:25+00:00
Assassin's Creed Liberation HD,19.99,4.99,Steam,2022-09-29T17:48:46+00:00
Sniper Elite 5,49.99,36.99,Fanatical,2022-09-06T15:05:24+00:00
Homefront : The Revolution,4.0,3.92,Voidu,2022-09-05T13:01:12+00:00
Nelke & the Legendary Alchemists ~Ateliers of the New World~,55.42,27.71,Gamesplanet UK,2022-02-08T13:52:09+00:00
Yakuza: Like a Dragon - Legendary Hero Edition,89.99,25.98,Gamebillet,2022-10-08T23:04:23+00:00
Total War: WARHAMMER III,59.99,42.52,Gamebillet,2022-10-08T23:04:23+00:00
Golf With Your Friends,12.18,3.69,Gamesplanet UK,2022-10-07T08:07:44+00:00
Vampyr,39.99,9.19,Fanatical,2022-10-06T23:02:50+00:00
Insurgency: Sandstorm,29.99,15.89,Fanatical,2022-10-06T23:02:50+00:00
Total War: ATTILA,33.25,7.02,Gamesplanet UK,2022-10-06T17:09:58+00:00
LEGO Worlds,29.99,4.49,Allyouplay,2022-10-06T15:12:49+00:00
Overcooked! 2,24.99,5.74,Fanatical,2022-10-04T15:03:30+00:00
Trine 3: The Artifacts of Power,21.99,5.49,Steam,2022-10-03T17:51:45+00:00
The Elder Scrolls Online High Isle Upgrade,39.99,15.51,Voidu,2022-09-30T16:01:27+00:00
Megaquarium,24.99,12.49,Steam,2022-09-29T17:34:14+00:00
Tom Clancy's Rainbow Six Siege Deluxe Edition,29.99,8.91,Ubisoft Store,2022-09-29T15:05:45+00:00
Evil West,49.99,40.99,2Game,2022-09-17T01:03:27+00:00
NOBUNAGA'S AMBITION: Sphere of Influence,55.42,27.71,Gamesplanet UK,2022-02-08T13:52:09+00:00
Total War: WARHAMMER II,59.99,16.98,Gamebillet,2022-10-08T23:04:23+00:00
Ryse: Son of Rome,9.99,2.49,Steam,2022-10-07T17:36:17+00:00
Prince of Persia: Warrior Within,9.99,1.77,GamersGate,2022-10-07T17:02:31+00:00
Far Cry 4,29.99,7.56,Green Man Gaming,2022-10-07T16:09:37+00:00
SnowRunner,29.99,18.59,Fanatical,2022-10-06T23:02:50+00:00
Shady Part of Me,14.99,5.39,Fanatical,2022-10-06T23:02:50+00:00
The Elder Scrolls V: Skyrim Anniversary Edition Upgrade,17.73,11.52,Gamesplanet UK,2022-10-03T22:09:56+00:00
CODE VEIN,79.99,11.99,Steam,2022-10-03T18:03:10+00:00
Sherlock Holmes: Crimes and Punishments,29.99,5.99,Steam,2022-10-03T17:42:50+00:00
Lost Words: Beyond the Page,14.99,2.69,GamersGate,2022-10-02T23:03:03+00:00
Ghosts 'n Goblins Resurrection,29.99,17.28,Green Man Gaming,2022-09-29T22:07:25+00:00
Moonscars,19.99,15.29,Gamebillet,2022-09-29T11:05:59+00:00
Judgment,39.99,35.17,Gamebillet,2022-09-14T17:03:31+00:00
Digimon Survive,44.33,37.68,Gamesplanet UK,2022-08-30T10:08:28+00:00
Seasons after Fall,9.99,1.79,Fanatical,2022-10-06T23:02:50+00:00
WATCH_DOGS 2,49.99,8.8,Gamebillet,2022-10-05T11:04:12+00:00
MONSTER HUNTER RISE,59.99,26.95,Gamebillet,2022-10-05T11:04:12+00:00
Streets of Rogue,19.99,4.99,Steam,2022-10-04T17:49:19+00:00
The Ascent,29.99,8.51,Gamebillet,2022-10-04T10:02:47+00:00
Capcom Fighting Collection - Early Purchase,39.99,26.99,Dreamgame,2022-10-04T01:14:22+00:00
Swords & Souls: Neverseen,14.99,9.89,Humble Store,2022-10-03T18:11:48+00:00
Strange Horticulture,14.99,9.74,Steam,2022-10-03T17:46:16+00:00
MONOPOLY PLUS,13.85,5.31,Gamesplanet UK,2022-10-02T22:09:30+00:00
Elden Ring,59.99,49.19,Green Man Gaming,2022-09-30T15:31:06+00:00
Assassin's Creed 2,19.99,5.99,Steam,2022-09-29T17:49:15+00:00
Immortals Fenyx Rising,59.99,17.82,Ubisoft Store,2022-09-29T15:05:45+00:00
Pharaoh + Cleopatra,9.99,4.99,Gog.com,2022-09-29T14:08:23+00:00
Saints Row IV: Game of the Century Edition,19.99,4.39,Fanatical,2022-09-26T08:03:47+00:00
Lost Judgment,59.99,52.75,Gamebillet,2022-09-14T17:03:31+00:00
Happy Game,13.13,8.79,Steam,2022-10-07T17:38:04+00:00
Prince of Persia: The Two Thrones,9.99,1.77,GamersGate,2022-10-07T17:02:31+00:00
Battlefleet Gothic: Armada,14.99,2.69,Fanatical,2022-10-06T23:02:50+00:00
Sniper Elite V2 Remastered,34.99,8.74,Steam,2022-10-06T17:47:57+00:00
Football Manager 2022,54.99,21.99,Steam,2022-10-06T17:41:06+00:00
LEGO CITY Undercover,19.99,2.99,Allyouplay,2022-10-06T15:12:49+00:00
Summer in Mara,19.99,6.99,Steam,2022-10-03T18:03:18+00:00
永远消失的幻想乡 ～ The Disappearing of Gensokyo,10.99,2.19,Steam,2022-10-03T17:55:51+00:00
